Crop,Rice_Variety,Sowing,Harvesting,SowingRate,Nitrogen,pH,Clay,CEC,Avg_Temperature,Avg_Irradiation,Soil_Moisture,Precipitation
Riso,Basmati,2022-04-21,2022-09-19,163.77940568236943,101.9081785136218,7.155037844212606,27.893379701720534,25.975475045223604,25.187478471147095,17.011752322888796,26.286343970824156,454.69569960592105
Riso,Arborio,2022-04-14,2022-08-20,144.33156396129445,97.9181877629731,7.0290555893094355,51.118814055881835,22.97977493253567,20.511655064454757,15.800634025289655,34.986807846616884,385.59453461493376
Riso,Indica,2022-04-30,2022-09-18,117.14331395435933,52.56420658064357,6.647057902911147,59.87570549566212,15.086458408583532,22.328585568760943,19.744531798445234,13.752667295092106,368.3813479259095
Riso,Basmati,2022-05-02,2022-09-20,177.65540236483383,84.12478276261564,7.412094287223866,16.351170239822675,5.22625252263987,24.92001729432083,15.099692347345185,13.893488971678337,783.3378255298145
Riso,Basmati,2022-04-12,2022-08-23,162.1677407064655,88.0195618785857,5.900949031056806,55.38146396059194,22.368372766528488,23.102352837447047,15.847661544263332,26.704550808349225,292.01889644944737
Riso,Arborio,2022-03-26,2022-08-02,99.51403272138695,89.88227808969005,5.718528420619243,43.01837401193961,14.996909599678508,21.817635977611943,23.07625869562975,38.39135960075113,639.9967452301173
Riso,Indica,2022-04-09,2022-08-19,189.3112621392611,108.01723692273322,7.207923933910845,58.80221786241695,30.711290524868726,25.04132841918438,22.714733448596064,22.449932751122628,200.24617366350492
Riso,Indica,2022-04-12,2022-08-19,178.70446915078028,103.36025467268784,6.378299633267496,35.92542828868925,5.838119284466922,23.228097934478505,24.15138820404896,19.808263007640846,557.7096016414262
Riso,Basmati,2022-04-11,2022-09-01,193.97598959503088,110.79050927934446,7.193937708414121,53.13245687571182,25.46897339570268,22.581076431734147,23.545154359107496,28.200679695936575,749.5658023724314
Riso,Japonica,2022-03-19,2022-07-19,167.0863410066032,126.48832615421283,7.28618041039083,17.807733086922475,37.95159831271229,24.63985417440381,21.83175563239818,37.91345801635093,372.7604564559314
Riso,Basmati,2022-04-15,2022-09-06,153.60982351229478,131.29857387160934,5.624915187238143,30.087557253523308,11.104324348902484,21.332842580821733,15.523328573006628,35.10783498533871,311.31558515463155
Riso,Basmati,2022-03-27,2022-08-11,130.18916435487426,121.81230762264944,7.266929525972121,18.015744198804448,21.50773217627084,29.277457330754075,22.828486179866573,39.864508321996595,591.0078769270563
Riso,Basmati,2022-04-30,2022-09-14,191.9274180024816,145.55236959549347,6.396638110738844,58.89044100655818,8.199769713599835,28.677020979192392,23.455108108405604,10.677057496071313,627.5608443790359
Riso,Basmati,2022-04-25,2022-09-11,183.927666740049,51.82325826763616,6.520864978008465,51.76382582723265,26.898866929147342,27.076205857405355,22.990821457719544,13.385744341382868,612.8183113711888
Riso,Arborio,2022-04-17,2022-08-22,85.42624041274273,69.57779856835461,6.75318502218642,53.36463395606867,24.268608820867897,21.06213827588456,20.084790353080262,28.28403290099866,391.59012801282444
Riso,Indica,2022-03-18,2022-07-20,83.16403693967024,50.75628749781421,7.352765213460174,57.20843541452524,19.25779334744913,27.75877254469693,17.329018386494816,34.617293180015494,351.32144129559856
Riso,Arborio,2022-05-02,2022-08-28,125.17560402536594,114.7474714154603,5.538232188859528,18.82965687539034,23.248195751580944,28.07957328109019,23.45329975688727,18.557330269202996,773.5512799772265
Riso,Arborio,2022-04-25,2022-09-02,177.26639969381995,139.8030548949987,6.453686936635634,32.351891663100005,36.38011304641536,27.677646177143377,22.271628097401383,17.176332641026562,753.9797049619576
Riso,Arborio,2022-04-02,2022-08-06,198.47313551779334,74.34822965762993,6.875444084861122,18.196570006980096,11.870300580887346,21.139658871192413,24.807611743888515,33.609273981436026,474.3899659356922
Riso,Basmati,2022-05-05,2022-09-28,98.05002693242338,142.70345447963066,6.945413915396457,24.485689569751287,5.789757909687153,26.43907957067765,16.55692597755933,11.691455615596947,707.716319692624
Riso,Japonica,2022-04-14,2022-08-04,151.2956858422562,56.02673902895609,6.885064863074216,25.321459966695258,35.158270964468535,28.343247957493986,17.25664583052055,21.081479427477554,471.3940865805776
Riso,Indica,2022-03-26,2022-08-03,125.70690279572258,143.44360268055144,5.768870258816244,36.10982449714104,25.199097883576727,25.773534012196677,17.117981498815027,25.174276677769893,454.6334108435062
Riso,Japonica,2022-04-05,2022-07-26,196.38972773775237,85.16226872396345,6.0987911767433625,27.085297535413915,36.17304594116449,26.46407375228089,22.925397676213368,26.810460230509705,294.0577685595768
Riso,Arborio,2022-04-12,2022-08-09,181.05427077628502,60.14208284492165,6.217431050834027,19.54401480679925,25.89308281946104,24.583634794263062,16.869072964501182,31.858454703783305,455.8436338951837
Riso,Arborio,2022-04-25,2022-08-19,180.59944456533654,98.58717591863257,7.1088744153590095,22.537099009234847,33.35563814858959,25.287073198840524,15.666598298233062,20.645371702919746,522.4501631598841
Riso,Japonica,2022-04-10,2022-08-06,136.24317917539645,75.6776567720508,6.057519744829106,21.627400359844092,20.038567717430176,20.343768583517253,24.985608065856287,28.380530340238217,213.5025964572119
Riso,Japonica,2022-04-08,2022-08-01,129.7783402805198,78.48729019619228,5.921409927734406,58.78845590605342,31.24509759508941,26.389630219732844,15.248172114451492,27.56126268372869,466.46780310524383
Riso,Japonica,2022-04-14,2022-08-20,112.80884863168475,80.72899649262865,7.414896038076193,49.168162811331314,36.956451341144955,20.814472128911593,23.352440601588654,26.428483019612415,668.8137310371202
Riso,Arborio,2022-04-07,2022-08-17,86.76505959811125,130.30258978326634,5.517726570226937,58.549265937130286,25.024303730277218,24.350145943402232,18.653668415506527,29.214498794266365,608.0276338245619
Riso,Arborio,2022-04-24,2022-08-28,183.7666851506064,103.91612766752544,7.495641711363956,34.78832189285588,11.327480269683285,22.92655097667408,23.416154597578153,17.78347513204229,581.094193318361
Riso,Indica,2022-04-29,2022-09-02,177.5481210956093,81.13076991560037,6.853642597714791,27.526581674819546,14.407916526056935,25.45427950211713,20.54620491211145,12.53946260753887,745.7332570623215
Riso,Indica,2022-05-02,2022-09-04,199.96612079433567,111.03337833109184,7.156938598898234,50.9231938744134,11.952560191409201,21.33416335523207,24.016312294863603,13.578150161192303,210.819205895138
Riso,Arborio,2022-04-29,2022-09-01,199.59642044886863,121.61506742231936,6.089238792692386,29.681426311851606,13.639995965850652,26.91643401973318,24.261929864146268,16.73747147961703,534.2285517153405
